"","iso_2","iso_3","country","continent","oecd","year","category","share"
"91","BE","BEL","Belgium","EU",1,"2019","3000","0.004"
"92","BE","BEL","Belgium","EU",1,"2019","6000","0"
"93","BE","BEL","Belgium","EU",1,"2018","6000","0"
"94","BE","BEL","Belgium","EU",1,"2018","1300","0.035"
"95","BE","BEL","Belgium","EU",1,"2018","3000","0.004"
"96","BE","BEL","Belgium","EU",1,"2022","6000","0"
"97","BE","BEL","Belgium","EU",1,"2020","1300","0.034"
"98","BE","BEL","Belgium","EU",1,"2018","1200","9.815"
"99","BE","BEL","Belgium","EU",1,"2019","1300","0.036"
"100","BE","BEL","Belgium","EU",1,"2022","2000","30.523"
"101","BE","BEL","Belgium","EU",1,"2019","1200","8.737"
"102","BE","BEL","Belgium","EU",1,"2021","1200","8.983"
"103","BE","BEL","Belgium","EU",1,"2021","6000","0"
"104","BE","BEL","Belgium","EU",1,"2022","1200","9.349"
"105","BE","BEL","Belgium","EU",1,"2022","5000","24.39"
"106","BE","BEL","Belgium","EU",1,"2020","1200","7.719"
"107","BE","BEL","Belgium","EU",1,"2021","2000","30.634"
"108","BE","BEL","Belgium","EU",1,"2018","1100","26.969"
"109","BE","BEL","Belgium","EU",1,"2022","3000","0.002"
"110","BE","BEL","Belgium","EU",1,"2022","4000","7.721"
"111","BE","BEL","Belgium","EU",1,"2021","1300","0.035"
"112","BE","BEL","Belgium","EU",1,"2022","1100","27.985"
"113","BE","BEL","Belgium","EU",1,"1990","1200","4.836"
"114","BE","BEL","Belgium","EU",1,"2021","1100","26.686"
"115","BE","BEL","Belgium","EU",1,"1990","1100","32.01"
"116","BE","BEL","Belgium","EU",1,"2021","3000","0.002"
"117","BE","BEL","Belgium","EU",1,"2021","4000","8.425"
"118","BE","BEL","Belgium","EU",1,"2021","5000","25.236"
"119","BE","BEL","Belgium","EU",1,"2020","5000","24.414"
"120","BE","BEL","Belgium","EU",1,"2020","2000","31.964"
"121","BE","BEL","Belgium","EU",1,"2019","4000","8.063"
"122","BE","BEL","Belgium","EU",1,"1990","5000","26.077"
"123","BE","BEL","Belgium","EU",1,"1990","6000","0"
"124","BE","BEL","Belgium","EU",1,"1990","4000","3.805"
"125","BE","BEL","Belgium","EU",1,"1990","3000","0"
"126","BE","BEL","Belgium","EU",1,"2018","5000","25.054"
"127","BE","BEL","Belgium","EU",1,"2020","4000","8.035"
"128","BE","BEL","Belgium","EU",1,"2020","1100","27.833"
"129","BE","BEL","Belgium","EU",1,"1990","2000","33.215"
"130","BE","BEL","Belgium","EU",1,"2019","5000","25.442"
"131","BE","BEL","Belgium","EU",1,"2019","1100","26.614"
"132","BE","BEL","Belgium","EU",1,"2019","2000","31.104"
"133","BE","BEL","Belgium","EU",1,"1990","1300","0.057"
"134","BE","BEL","Belgium","EU",1,"2018","2000","30.271"
"135","BE","BEL","Belgium","EU",1,"2018","4000","7.853"
"136","BE","BEL","Belgium","EU",1,"2022","1300","0.029"
"137","CA","CAN","Canada","NO",1,"2022","2000","14.289"
