"iso_2","iso_3","country","continent","oecd","year","category","value"
"AT","AUT","Austria","EU",1,"2018","5000",53.222
"AT","AUT","Austria","EU",1,"2019","5000",52.083
"AT","AUT","Austria","EU",1,"2015","6000",0.818
"AT","AUT","Austria","EU",1,"2010","6000",1.45
"AT","AUT","Austria","EU",1,"2012","6000",1.232
"AT","AUT","Austria","EU",1,"2013","6000",1.236
"AT","AUT","Austria","EU",1,"2011","1100",39.694
"AT","AUT","Austria","EU",1,"2009","CUS",0.445
"AT","AUT","Austria","EU",1,"2010","CUS",0.45
"AT","AUT","Austria","EU",1,"2011","CUS",0.526
"AT","AUT","Austria","EU",1,"2008","CUS",0.512
"AT","AUT","Austria","EU",1,"2018","6000",0.915
"AT","AUT","Austria","EU",1,"2016","5000",47.115
"AT","AUT","Austria","EU",1,"2017","5000",49.622
"AT","AUT","Austria","EU",1,"2010","1100",35.889
"AT","AUT","Austria","EU",1,"2008","6000",1.393
"AT","AUT","Austria","EU",1,"2020","5000",49.33
"AT","AUT","Austria","EU",1,"2011","1300",1.874
"AT","AUT","Austria","EU",1,"2012","1300",1.797
"AT","AUT","Austria","EU",1,"2020","1200",8.931
"AT","AUT","Austria","EU",1,"2009","3000",11.313
"AT","AUT","Austria","EU",1,"2010","3000",11.071
"AT","AUT","Austria","EU",1,"2011","3000",12.175
"AT","AUT","Austria","EU",1,"2017","6000",0.897
"AT","AUT","Austria","EU",1,"2015","5000",45.553
"AT","AUT","Austria","EU",1,"2013","CUS",0.435
"AT","AUT","Austria","EU",1,"2014","CUS",0.49
"AT","AUT","Austria","EU",1,"2020","6000",0.791
"AT","AUT","Austria","EU",1,"2015","CUS",0.46
"AT","AUT","Austria","EU",1,"2017","1200",10.282
"AT","AUT","Austria","EU",1,"2018","1200",12.321
"AT","AUT","Austria","EU",1,"2019","1200",12.084
"AT","AUT","Austria","EU",1,"2008","5000",49.41
"AT","AUT","Austria","EU",1,"2009","5000",47.216
"AT","AUT","Austria","EU",1,"2010","5000",46.01
"AT","AUT","Austria","EU",1,"2011","5000",51.247
"AT","AUT","Austria","EU",1,"2012","3000",11.769
"AT","AUT","Austria","EU",1,"2012","CUS",0.442
"AT","AUT","Austria","EU",1,"2014","5000",52.607
"AT","AUT","Austria","EU",1,"2008","1100",40.948
"AT","AUT","Austria","EU",1,"2009","1100",36.332
"AT","AUT","Austria","EU",1,"2008","4000",2.243
"AT","AUT","Austria","EU",1,"2009","4000",2.099
"AT","AUT","Austria","EU",1,"2012","1100",38.932
"AT","AUT","Austria","EU",1,"2014","1100",44.353
"AT","AUT","Austria","EU",1,"2015","1100",39.76
"AT","AUT","Austria","EU",1,"2016","1100",35.664
"AT","AUT","Austria","EU",1,"2017","1100",37.789
"AT","AUT","Austria","EU",1,"2018","1100",42.715
"AT","AUT","Austria","EU",1,"2019","1100",42.804
"AT","AUT","Austria","EU",1,"2020","1100",39.806
"AT","AUT","Austria","EU",1,"2012","1200",8.199
"AT","AUT","Austria","EU",1,"2013","1200",9.244
"AT","AUT","Austria","EU",1,"2014","1200",9.302
"AT","AUT","Austria","EU",1,"2015","1200",8.497
"AT","AUT","Austria","EU",1,"2016","1200",9.276
"AT","AUT","Austria","EU",1,"2008","1300",3.303
"AT","AUT","Austria","EU",1,"2009","1300",2.703
"AT","AUT","Austria","EU",1,"2010","1300",1.861
"AT","AUT","Austria","EU",1,"2008","3000",11.582
"AT","AUT","Austria","EU",1,"2020","CUS",0.532
"AT","AUT","Austria","EU",1,"2008","1200",10.166
"AT","AUT","Austria","EU",1,"2009","1200",6.506
"AT","AUT","Austria","EU",1,"2013","1300",1.798
"AT","AUT","Austria","EU",1,"2013","3000",12.597
"AT","AUT","Austria","EU",1,"2014","3000",12.975
"AT","AUT","Austria","EU",1,"2015","3000",11.138
"AT","AUT","Austria","EU",1,"2016","3000",11.502
"AT","AUT","Austria","EU",1,"2018","1300",1.327
"AT","AUT","Austria","EU",1,"2016","CUS",0.496
"AT","AUT","Austria","EU",1,"2017","CUS",0.563
"AT","AUT","Austria","EU",1,"2018","CUS",0.572
"AT","AUT","Austria","EU",1,"2019","CUS",0.54
"AT","AUT","Austria","EU",1,"2016","2000",57.313
"AT","AUT","Austria","EU",1,"2008","2000",58.724
