"year","individual","corporate","social","property","consumption","other","total2"
"2008",0.981922142607037,1.1714237752347,1.05011438211305,1.00219490556683,1.03834502084268,1.1993816304805,1.03484889232929
"2009",0.82863851573357,0.852193516022436,0.999894635027763,0.980555342454199,0.944272348650098,1.07187004332181,0.923305432490313
"2010",0.843034420806142,1.01544322570396,1.00425236299229,0.981127852898381,0.997956117858232,1.02517060110924,0.95378604940705
"2011",0.92749385776613,1.10197431471605,1.03206048018227,1.00680592175824,1.06064080634684,1.12961931515547,1.01280749149878
"2012",0.914750022446022,1.11510006681567,0.989394597820014,0.983899145749717,1.01705898000831,1.06721431741019,0.984484528624526
"2013",0.956717155319231,1.12677713949114,1.01838000565414,1.00079922420981,1.02954732392325,1.09857203744655,1.01100188900594
"2014",0.975055301229967,1.11662116166745,1.01937476109256,1.016323929641,1.04425798213862,1.0712330888115,1.02039617391915
"2015",0.949670026726199,1.01638866944457,0.942177638781485,0.978028201003599,0.965617834514052,0.914231242738899,0.958405702749539
"2016",0.947483534542819,1.03447999113626,0.962151617649339,0.999501973416965,0.970806766674606,0.885338729473066,0.967237065568581
"2017",0.976351221869785,1.01989358443059,0.981815078673768,1.20398392681758,0.99136810635631,0.951471010646593,1.00360161032886
"2018",1.00210296125756,1.05040396119595,1.01549348774514,1.02392889671957,1.0252372278333,0.965051484940383,1.01637777189181
"2019",1,1,1,1,1,1,1
"2020",0.944672977459456,0.826910337475254,0.848039733108955,0.977647272226417,0.918752302725749,0.894926382887094,0.904364823363926
